#RPLIDAR SCAN DATA
#COUNT=1039
#Angule	Distance	Quality
0.0110	 166.0	 188
0.3900	 165.0	 188
0.7031	 165.0	 188
1.0272	 165.0	 188
1.2799	 166.0	 188
1.5930	 166.0	 188
1.9666	 165.0	 188
2.2797	 165.0	 188
2.5433	 166.0	 188
2.8564	 166.0	 188
3.1696	 166.0	 188
3.4827	 166.0	 188
3.7958	 166.0	 188
4.1199	 166.0	 188
4.4330	 166.0	 188
4.7461	 166.0	 188
5.0592	 166.0	 188
5.3723	 166.0	 188
5.6854	 166.0	 188
6.0150	 166.0	 188
6.3281	 166.0	 188
6.5753	 167.0	 188
6.9049	 167.0	 188
7.2180	 167.0	 188
7.5311	 167.0	 188
7.8387	 167.0	 188
8.1519	 167.0	 188
8.4650	 167.0	 188
8.7946	 167.0	 188
9.0417	 168.0	 188
9.3549	 168.0	 188
9.6680	 168.0	 188
9.9976	 168.0	 188
10.3107	 168.0	 188
10.6238	 168.0	 188
10.9369	 168.0	 188
11.2006	 169.0	 188
11.5137	 169.0	 188
11.8268	 169.0	 188
12.1399	 169.0	 188
12.4036	 170.0	 188
12.7167	 170.0	 188
13.0298	 170.0	 188
13.3429	 170.0	 188
13.6560	 170.0	 188
13.9197	 171.0	 188
14.2328	 171.0	 188
14.5459	 171.0	 188
14.8590	 171.0	 188
15.1227	 172.0	 188
15.4358	 172.0	 188
15.7489	 172.0	 188
16.0730	 172.0	 188
16.3861	 173.0	 188
16.6992	 173.0	 188
17.0123	 173.0	 188
17.3254	 173.0	 188
17.5891	 174.0	 188
17.9022	 174.0	 188
18.2153	 174.0	 188
18.4790	 175.0	 188
18.7921	 175.0	 188
19.1052	 175.0	 188
19.4183	 175.0	 188
19.6875	 176.0	 188
19.9951	 176.0	 188
20.2643	 177.0	 188
20.5774	 177.0	 188
20.8905	 177.0	 188
21.1981	 178.0	 188
21.5112	 178.0	 188
21.8243	 178.0	 188
22.0935	 179.0	 188
22.4011	 179.0	 188
22.6703	 180.0	 188
22.9834	 180.0	 188
23.2306	 181.0	 188
23.5602	 181.0	 188
23.8733	 181.0	 188
24.1864	 182.0	 188
24.4995	 182.0	 188
24.7632	 183.0	 188
25.0763	 183.0	 188
25.3894	 183.0	 188
25.6531	 184.0	 188
25.9058	 185.0	 188
26.2134	 185.0	 188
26.5430	 186.0	 188
26.8561	 186.0	 188
27.1692	 186.0	 188
27.4219	 187.0	 188
27.7460	 187.0	 188
27.9987	 188.0	 188
28.3118	 189.0	 188
28.6359	 189.0	 188
28.8885	 190.0	 188
29.2017	 190.0	 188
29.4653	 191.0	 188
29.7784	 191.0	 188
30.0916	 192.0	 188
30.4047	 192.0	 188
30.6683	 193.0	 188
30.9814	 193.0	 188
31.2451	 194.0	 188
31.5582	 195.0	 188
31.8109	 196.0	 188
32.1405	 196.0	 188
32.3877	 197.0	 188
32.7008	 198.0	 188
33.0304	 198.0	 188
33.2776	 199.0	 188
33.5468	 200.0	 188
33.8544	 200.0	 188
34.1675	 201.0	 188
34.4366	 202.0	 188
34.7498	 202.0	 188
35.0574	 203.0	 188
35.3265	 204.0	 188
35.5737	 205.0	 188
35.8868	 206.0	 188
36.2164	 206.0	 188
36.4636	 207.0	 188
36.7767	 208.0	 188
37.0459	 209.0	 188
37.3590	 210.0	 188
37.6227	 211.0	 188
37.9358	 211.0	 188
38.1830	 212.0	 188
38.5126	 213.0	 188
38.7653	 214.0	 188
39.0729	 215.0	 188
39.3420	 216.0	 188
39.6552	 217.0	 188
39.9188	 218.0	 188
40.2319	 219.0	 188
40.4791	 220.0	 188
40.7922	 221.0	 188
41.0614	 222.0	 188
41.3745	 223.0	 188
41.6382	 224.0	 188
41.9513	 225.0	 188
42.2150	 226.0	 188
42.5281	 227.0	 188
42.7808	 228.0	 188
43.0884	 229.0	 188
43.3575	 230.0	 188
43.6047	 232.0	 188
43.9343	 233.0	 188
44.2474	 234.0	 188
44.4946	 235.0	 188
44.8077	 236.0	 188
45.0769	 237.0	 188
45.3900	 238.0	 188
45.6372	 240.0	 188
45.9668	 241.0	 188
46.2140	 242.0	 188
46.5271	 243.0	 188
46.7963	 245.0	 188
47.0435	 247.0	 188
47.3566	 248.0	 188
47.6202	 249.0	 188
47.8729	 251.0	 188
48.2025	 252.0	 188
48.4497	 254.0	 188
48.7628	 255.0	 188
49.0265	 257.0	 188
49.3396	 258.0	 188
49.5923	 259.0	 188
49.9054	 261.0	 188
50.1691	 263.0	 188
50.4218	 265.0	 188
50.7458	 266.0	 188
50.9985	 268.0	 188
51.3116	 270.0	 188
51.5753	 272.0	 188
51.8884	 273.0	 188
52.1356	 275.0	 188
52.4048	 277.0	 188
52.7179	 279.0	 188
52.9816	 281.0	 188
